127.0.0.1 - - [09/Sep/2021:00:02:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:02:34 +0900] "GET /webMVC/WEB-INF/classes/com/bitcamp/member/LoginOkCommand.java HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:02:40 +0900] "GET /webMVC/index.jsp HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:02:45 +0900] "GET /webMVC/member/login.do HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:02:53 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:02:58 +0900] "GET /webMVC/index.do HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:03:04 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:03:10 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:33:47 +0900] "GET /webMVC/member/logout.do HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:33:47 +0900] "GET /webMVC/member/login.do HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:33:51 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:34:00 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:35:09 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1390
0:0:0:0:0:0:0:1 - - [09/Sep/2021:00:35:13 +0900] "POST /webMVC/member/loginOk.do HTTP/1.1" 200 1390
