127.0.0.1 - - [06/Aug/2021:09:36:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:36:02 +0900] "GET /webApp/tagCss/tag04_ul_ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:36:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:43:28 +0900] "GET /webApp/tagCss/tag04_ul_ol.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:43:29 +0900] "GET /webApp/img/wbb2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:09:43:43 +0900] "GET /webApp/tagCss/tag04_ul_ol.html HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:12:59 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:13:45 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:13:55 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 449
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:16:47 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:17:08 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:17:25 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:17:38 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:18:50 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [06/Aug/2021:10:18:56 +0900] "GET /webApp/tagCss/tag05_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:58:57 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:58:57 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:07 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:07 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:09 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:14 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:14 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8157007
0:0:0:0:0:0:0:1 - - [06/Aug/2021:11:59:51 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:00:18 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:00:19 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8157007
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:00:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:00:22 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8025935
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:01 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:02 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:02 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8353615
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:12 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:12 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8288079
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:31 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:31 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:58 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:04:59 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8157007
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:05:00 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:05:26 +0900] "GET /webApp/tagCss/tag7_audio.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:05:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:05:27 +0900] "GET /webApp/sound_movie/Kalimba.mp3 HTTP/1.1" 206 8157007
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:44 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 302
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 17958009
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/sample_video.mp4 HTTP/1.1" 206 1055736
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/sample_video.mp4 HTTP/1.1" 206 7160
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 33913
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/sample_video.mp4 HTTP/1.1" 206 917504
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 17793024
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:13:45 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 17133870
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:14:20 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:14:39 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:14:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:14:41 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 16220160
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:14:57 +0900] "GET /webApp/sound_movie/Wildlife.mp4 HTTP/1.1" 206 121
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:15:02 +0900] "GET /webApp/sound_movie/sample_video.mp4 HTTP/1.1" 206 327680
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:15:31 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:15:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:18:22 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [06/Aug/2021:12:18:46 +0900] "GET /webApp/tagCss/tag08_video.html HTTP/1.1" 200 357
